Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Newsletter
423;Frau;;Nadja;Degner;;Breede;81;21444;Vierhöfen;04172/89855843;0179/9632816;nadja_degner@quickmail.none;
424;Frau;Dr.;Roselene;Gartmann;23.08.2020;Görlitzer Straße;89 c;76889;Dierbach;06343/79904240;0174/2087579;roselene-gartmann@funmail.none;
425;Herr;;Randolph;Ruprecht;19.02.1959;Quellenstraße;87;54675;Nusbaum;06564/97576870;;r-ruprecht@open-mail.none;
426;Frau;;Friedburg;Radke;20.12.1907;Sebastianusstraße;130;71576;Burgstetten;;;friedburg-radke@inter-mail.none;ja
427;Frau;Dr.;Leonie;Tannert;;Wolfsberg;160;82166;Gräfelfing;089/44639846;0155/3989747;leonie_tannert@company.none;
428;Herr;;Manhold;Kettner;15.06.1906;Bahnhofsallee;153;54441;Kastel-Staadt;06581/98129637;0171/9908012;manholdkettner@mymail.none;
429;k.A.;;Lerke;Glaser;;Langemarckstraße;107;34292;Ahnatal;05609/46728484;0156/6120361;lerke.glaser@quickmail.none;ja
430;Herr;;Gustav;Reichling;;Im Enger;153;69214;Eppelheim;;0176/4143464;gustav_63@net-mail.none;ja
431;Herr;;Runfried;Klinkhammer;;Schwetzinger Straße;175;66909;Quirnbach;06383/65150243;0163/9546299;r.klinkhammer@live-mail.none;ja
432;k.A.;;Ekhard;Schau;;Lüderitzstraße;81;86483;Balzhausen;08281/59942547;;;ja
433;Frau;;Klementine;Schwarzmeier;;Würdinghauser Straße;142;26524;Halbemond;04931/21797507;0156/6084465;k.schwarzmeier@justmail.none;
434;Frau;Dr.;Effi;Wiesler;;Böddinghauser Weg;15;37194;Wahlsburg;;0154/9614049;effi-wiesler@xyz.none;
435;Frau;;Liselore;Hentschke;;In Steckenborn;198;37139;Adelebsen;05506/362629;0159/1980405;;
436;Frau;;Hilderose;Schäfers;;Engerstraße;11;30823;Garbsen;05131/98560678;0177/1744760;hilderose-schaefers@validmail.none;
437;Herr;;Englbert;Landwehr;;Hilchenbacher Straße;78;56357;Himmighofen;06772/3139208;;elandwehr@net-mail.none;ja
438;Herr;;Raimond;Engelmann;;Beethovenweg;70;29553;Bienenbüttel;;;raimondengelmann@inter-mail.none;
439;Frau;;Franziska;Thamm;19.12.1969;Wehrhölzchenstraße;90;25712;Hochdonn;04825/4295921;0168/2308405;;nein
440;Herr;;Welf;Kloss;;Billerbecker Straße;200;56843;Burg;06541/33726925;0174/4886572;welf_kloss@retromail.none;ja
441;Frau;;Theodolinde;Klimpel;;Rheinblicksiedlung;164;24899;Wohlde;;;theodolinde-1905@mymail.none;
442;Herr;;Freddy;Karatas;;Langenbacher Straße;34;55543;Bad Kreuznach;0671/30210472;0152/9415406;f.karatas@net-mail.none;
443;Frau;;Annetrude;Klamt;;Sohler Weg;131;74420;Oberrot;07977/75634727;0175/3002036;annetrude.klamt@live-mail.none;
444;Frau;;Ermelinde;Gleißner;;Auf dem Born;132;56294;Kalt;02654/84760872;0152/5222042;egleissner@funmail.none;ja
445;Frau;;Theodore;Krück;;Weiherstraße;155;71111;Waldenbuch;07157/44225630;0171/2357675;t_krueck@hoster.none;
446;Frau;;Theresia;Schmiedl;;Kolumbusstraße;123;78603;Renquishausen;07429/72214088;0165/5913649;theresia1939@bestmail.none;ja
447;Frau;;Isabella;Rieken;;Binnefeldstraße;20;91452;Wilhermsdorf;09102/65500911;0169/5350482;i-rieken@funmail.none;
448;Herr;;Jörgfried;Taschner;;Hachener Straße;4;38378;Warberg;05355/13380464;0157/2965814;j-taschner@validmail.none;
449;Frau;;Isabella;Schmaus;;Elsa-Brandström-Straße;115;56814;Illerich;;0158/2615330;i1954@quickmail.none;
450;Herr;Dr.;Abraham;Reynolds;;Giersberg;198;29587;Natendorf;;;;
451;k.A.;;Zoe;Pfeiler;07.06.2009;Dellenweg;102;31134;Hildesheim;05121/53226209;;zoepfeiler@ultramail.none;ja
452;Herr;;Knuth;Hädrich;;Kronprinzenstraße;161;55413;Weiler;06721/93376606;0170/7390431;knuth.haedrich@open-mail.none;ja
453;Herr;;Joschka;Kliche;;Werftstraße;144;29476;Gusborn;05865/78972038;0155/2240778;joschka.kliche@spam-mail.none;nein
454;Herr;;Ruben;Mehrtens;;Pennekamp;114;24888;Loit;04641/69219940;0172/4071771;ruben.mehrtens@email.none;ja
455;k.A.;;Dionys;Schmieder;;Bernshuck;15;37696;Marienmünster;05276/36016063;0168/7931360;;ja
456;Frau;;Berenike;Molter;21.02.1959;Bauernstraße;64;67547;Worms;06241/80858632;;berenikemolter@xyz.none;ja
457;Herr;;Meinold;Bieder;;Auf Lischeid;56;46487;Wesel am Rhein;0281/16397708;0153/6179282;;
458;Frau;;Albine;Wenz;;Wöste;51;67240;Bobenheim-Roxheim;06239/4094954;;;
459;Herr;;Falk;Octomedia;;Wieningen;77;95176;Konradsreuth;09292/49981377;0171/2198313;f_octomedia@bestmail.none;
460;Herr;;Andy;Ferreira;;Auf dem Acker;113;28215;Bremen;0421/96576713;0175/3005383;andyferreira@retromail.none;ja
461;Herr;;Albin;Sieling;;Karl-Schober-Straße;10 c;32699;Extertal;05262/61530059;0176/7575685;;
462;Frau;;Gerheide;Pfennig;;Hemfeld;21;54597;Reuth;06597/16821659;;g.1914@web.none;
463;Herr;;Roland;Pfleger;;Thomas-Mann-Straße;176;45138;Essen;;0156/4332811;roland-pfleger@net-mail.none;
464;Frau;;Sylvana;Seidlitz;;Sandkamp;12;55578;Gau-Weinheim;06732/72135859;0150/4577332;s2019@hoster.none;
465;Herr;;Simpert;Keim;;Regensburger Straße;196;79843;Löffingen;07654/18173059;0177/4014697;;
466;k.A.;;Philip;Hohenberger;;Eberhardstraße;169;40883;Ratingen;02102/7118565;0172/4438206;philip.hohenberger@funmail.none;
467;Herr;;Joschua;Gloger;;Gorch-Fock-Straße;39;29525;Uelzen;0581/94764664;;joschua-gloger@ultramail.none;
468;Herr;;Hannsjürgen;Hagl;;Auenweg;186;67724;Gehrweiler;06302/27515129;0151/9354043;h-hagl@anymail.none;
469;Herr;;Vollrath;Beutel;22.01.1977;Otternbuchtstraße;144;61389;Schmitten;06084/35560041;0159/1872260;v1977@web.none;nein
470;Herr;;Willhart;Dauth;;Segbachstraße;127;73575;Leinzell;07175/14426004;;willhart_dauth@spam-mail.none;ja
471;Herr;;Edelbert;Schießl;01.01.2006;Thienhausener Straße;52a;83410;Laufen;08682/53948832;;edelbertschiessl@retromail.none;
472;k.A.;;Anneros;Krumme;;Schulstraße;2;23909;Ratzeburg;04541/79095918;;a.krumme@spam-mail.none;
473;k.A.;;Juditha;Eschweiler;22.02.1972;Am Dickenstein;47;45663;Recklinghausen;02361/16310244;0171/4717194;j.1972@trashmail.none;
474;Frau;;Amy;Lucas;;Altfelder Straße;65;86690;Mertingen;;;a_83@net-mail.none;
475;Herr;;Engelbrecht;Diebel;29.11.1952;Nikolaus-Ehlen-Straße;185;66894;Gerhardsbrunn;06372/48496854;0151/7777518;e.diebel@retromail.none;nein
476;Frau;;Gitti;Bartels;;Adalbert-Stifter-Weg;182;88299;Leutkirch;07561/14625242;0156/8026704;gitti-49@company.none;ja
477;Frau;;Dagmar;Rahm;;Klappergasse;31;56729;Lind;;0162/1414296;;
478;Herr;;Gernod;Raabe;;Bachemer Straße;102;55776;Reichenbach;06783/11688700;0156/9710967;gernodraabe@validmail.none;
479;k.A.;;Oskar;Werther;;Axtbachtal;121;57368;Lennestadt;;0158/3661670;o2013@web.none;
480;Frau;;Constanze;Messing;;Beller Straße;169;69502;Hemsbach;06201/66407887;0166/7298582;;ja
481;Herr;Dr.;Raymund;Hanses;;Loburg;102;86836;Graben;08232/49123162;;raymund.19@spam-mail.none;ja
482;Frau;;Angela;Prieß;16.01.1938;Löwenstraße;154;67311;Tiefenthal;06351/17808168;0170/4489946;angela.priess@email.none;
483;Herr;;Just;Straßburger;29.09.1967;Ob dem Lahrtal;111;54673;Scheitenkorb;06564/72554132;0162/3330258;juststrassburger@inter-mail.none;ja
484;Frau;;Irmentraut;Bruening;26.06.1971;Limkerweg;116;27386;Bothel;04266/85141370;0162/4230181;i_1971@web.none;nein
485;k.A.;;Gunnar;Korinth;;Seydlitzstraße;77;66871;Haschbach am Remigiusberg;06381/85926228;;gunnar-korinth@funmail.none;ja
486;Herr;;Tankred;Sträter;;Rankestraße;68;66706;Perl;06867/71176528;0176/5925320;t.straeter@xyz.none;ja
487;Herr;Prof. Dr.;Florentius;Ilg;;Werningslebener Straße;177;54597;Hersdorf;06551/75583928;0152/8426105;;
488;Frau;;Wiltrudis;Finkenzeller;;Iserlohner Straße;72;63457;Hanau;06181/20187700;0162/9803559;wiltrudis-finkenzeller@kitty.none;
489;Herr;;Michel;Deike;;Alte Schule;143;24111;Kiel;0431/50968912;0177/1212328;michel.deike@net-mail.none;nein
490;Herr;;Ronald;Hager;;Brohltalstraße;128;73663;Berglen;07195/86900721;0169/1635025;ronald-hager@xyz.none;
491;Herr;;Ringo;Rehberger;;Gubener Straße;108;29690;Schwarmstedt;05071/88412890;0167/9224775;ringo.rehberger@spam-mail.none;
492;Herr;;Degenhard;Manske;28.11.1988;Tersteegenstraße;15;46514;Schermbeck;;0167/6683097;degenhard.manske@mymail.none;
493;k.A.;;Harald;Panzer;;Lämmerstraße;41;76694;Forst;;0171/6976988;harald_1931@funmail.none;
494;Herr;Dr.;Runald;Newman;;Zwischen den Hölzern;169;67258;Heßheim;06233/60402201;0177/9429406;r_newman@bestmail.none;
495;Herr;;Willhart;Loosen;;Holmichstraße;84;69412;Eberbach;;0158/4379766;willhart-1988@inter-mail.none;
496;Herr;;Philip;Schwarz;;Schliekhege;77;76889;Dörrenbach;06343/59041842;;philip-1995@kitty.none;
497;Frau;;Relindis;Wenderoth;;Jagdweg;135;52076;Aachen;;0167/3948167;relindiswenderoth@retromail.none;ja
498;Frau;;Ernstine;Feiler;;Oderstraße;131;84069;Schierling;09451/67660052;;;
499;Frau;;Mareen;Sucker;;Ulmenstraße;86;73114;Schlat;07161/54153065;0151/9505578;mareen_sucker@inter-mail.none;
500;Frau;;Bianka;Dankert;;Bornstraße;142;24972;Steinberg;04632/14360800;;bianka_dankert@web.none;
